ProductNo,category,sub_category,product,brand,market_price,rating
22728,Cleaning & Household,"Mops, Brushes & Scrubs",Floor Wiper With Plastic Handle,Gala,175,3.6
22734,Snacks & Branded Foods,Ready To Cook & Eat,Dry Fruit - Cherry,Balaji foods,70,3.4
22735,Gourmet & World Food,Cereals & Breakfast,Toasted Millet Muesli - Cranberry & Almond,Monsoon Harvest,230,
22736,Beauty & Hygiene,Fragrances & Deos,Imperial Patchouli Eau De Toilette,Police,2450,
22739,Beauty & Hygiene,Skin Care,Blush - Shine & Glow Serum,Organic Harvest,1395,5
22741,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",50% Less Calories Sugar,Sugarlite,198,4.1
22743,Baby Care,Diapers & Wipes,New Dry Large Box Packs,Pampers ,2299,4.2
22749,Cleaning & Household,Detergents & Dishwash,Detergent Powder - Lemon & Orange,Wheel ,53,4.3
22750,Beauty & Hygiene,Skin Care,Skin Lightening De-Tan Bleach For Fresh Lively Skin,Olivia,400,5
22751,"Foodgrains, Oil & Masala",Masalas & Spices,"Spice Mix - Piri Piri, Multipurpose",Keya,99,4.3
22753,Beverages,Energy & Soft Drinks,Kamikaze Shots,&Stirred,250,4.1
22754,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery","Pure Refined - Sugar, Sulphur Free/Sakkare",Parry's,320,4.2
22755,"Foodgrains, Oil & Masala",Dry Fruits,Whole Cashew/Godambi - Jumbo,Grocery Farm,180,3.8
22756,"Kitchen, Garden & Pets",Cookware & Non Stick,Aluminium Kadhai,Namoo,246,3.3
22758,"Kitchen, Garden & Pets",Cookware & Non Stick,"Induction Base Stainless Steel Cookware Set - Kadai, Patila, Sauce Pan",Kitchen Essentials,1225,3.9
22763,"Foodgrains, Oil & Masala",Masalas & Spices,Masala - Biriyani,Nirapara,61,3.9
22771,"Kitchen, Garden & Pets",Storage & Accessories,Trendy Stainless-Steel Bottle With Sipper Cap Dark Red Colour Pxp 1002 Dq,BB Home,495,
22791,Beauty & Hygiene,Skin Care,Gold Creme Skin Bleach - Golden Glow,Fem,65,4.3
22792,Beauty & Hygiene,Hair Care,Damage Repair Protein Shampoo,Himalaya,75,3.9
22795,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Himalayan Pink Rock Salt/Uppu Powder,A.D.J Classic Choice,176,4.1
22798,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Bajra Atta - Pesticide Free,Safe Harvest,45,4
22805,Cleaning & Household,Bins & Bathroom Ware,"DP Plastic Hanger Clips Assorted, Set Of 16 + Pampers Diapers Medium 80Pcs",bb Combo,1299,
22809,Gourmet & World Food,"Pasta, Soup & Noodles",Durum Wheat Pasta - Spaghetti,HappyChef,310,4.4
22814,Beauty & Hygiene,Bath & Hand Wash,Hand Sanitiz+,Jungle Magic,50,5
22815,Fruits & Vegetables,Fresh Fruits,Pineapple - Organically Grown,Fresho,47.5,
,"Bakery, Cakes & Dairy",Ice Creams & Desserts,,Amul,,4
,Beauty & Hygiene,Fragrances & Deos,,Set Wet,,3.3
,Beauty & Hygiene,Oral Care,,Oral-B,,4.3
,Gourmet & World Food,Cooking & Baking Needs,,Purix,,5
,"Bakery, Cakes & Dairy",Cakes & Pastries,,Winkies,,4.2
